"id","attr_time","attr_azimuth","attr_pitch","attr_roll"
"111","1518810930260","291.984","-0.400253","1.08358"
"112","1518810930269","291.984","-0.398857","1.07724"
"113","1518810930278","291.984","-0.39778","1.07085"
"114","1518810930288","291.985","-0.396767","1.06436"
"115","1518810930298","291.985","-0.395786","1.05803"
"116","1518810930310","291.985","-0.394963","1.05167"
"117","1518810930319","291.985","-0.394205","1.04521"
"118","1518810930353","291.985","-0.394371","1.04394"
"119","1518810930353","291.984","-0.394463","1.03765"
"120","1518810930353","291.985","-0.394084","1.03269"
"121","1518810930362","291.983","-0.394365","1.0257"
"122","1518810930370","291.983","-0.394709","1.01986"
"123","1518810930387","291.983","-0.394363","1.0134"
"124","1518810930391","291.981","-0.393942","1.00705"
"125","1518810930407","291.981","-0.393658","1.00091"
"126","1518810930417","291.981","-0.39328","0.994712"
"127","1518810930424","291.982","-0.392868","0.988766"
"128","1518810930441","291.982","-0.392457","0.98282"
"129","1518810930441","291.982","-0.392204","0.976843"
"130","1518810930459","291.982","-0.391792","0.970898"
"131","1518810930460","291.982","-0.391442","0.965269"
"132","1518810930473","291.982","-0.390994","0.95999"
"133","1518810930489","291.982","-0.390545","0.955125"
"134","1518810930490","291.982","-0.390001","0.950195"
"135","1518810930501","291.982","-0.389616","0.945235"
"136","1518810930514","291.982","-0.389197","0.940528"
"137","1518810930520","291.982","-0.388809","0.935981"
"138","1518810930530","291.982","-0.388581","0.931403"
"139","1518810930540","291.982","-0.388383","0.926983"
"140","1518810930551","291.982","-0.388218","0.922311"
"141","1518810930561","291.982","-0.388023","0.917478"
"142","1518810930570","291.982","-0.387891","0.912551"
"143","1518810930580","291.982","-0.38779","0.907782"
"144","1518810930590","291.982","-0.387786","0.903079"
"145","1518810930599","291.982","-0.387716","0.898469"
"146","1518810930614","291.982","-0.387614","0.894115"
"147","1518810930620","291.982","-0.38767","0.889728"
"148","1518810930631","291.982","-0.387344","0.885499"
"149","1518810930640","291.982","-0.386953","0.881365"
"150","1518810930649","291.982","-0.386531","0.877485"
"151","1518810930661","291.982","-0.38563","0.873697"
"152","1518810930671","291.982","-0.384504","0.870449"
"153","1518810930680","291.982","-0.383344","0.867455"
"154","1518810930690","291.982","-0.382121","0.864556"
"155","1518810930699","291.982","-0.381055","0.862039"
"156","1518810930710","291.982","-0.380211","0.859396"
"157","1518810930719","291.982","-0.379493","0.856977"
"158","1518810930731","291.982","-0.378838","0.854875"
"159","1518810930740","291.982","-0.378115","0.853282"
"160","1518810930751","291.982","-0.377488","0.851752"
"161","1518810930762","291.983","-0.37702","0.850192"
"162","1518810930771","291.983","-0.376681","0.848443"
"163","1518810930782","291.983","-0.376408","0.846184"
